trial_order,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time,accuracy,age,sex
0,10,3,rw,LF,imams,0.301,0.653968253968254,49.66522289998829,51.23604619997786,z,1.57082329998957,1,32,male
1,10,89,rw,HF,geweest,4.3568,0.7779138321995465,52.78084129997296,54.76942939998116,m,1.9885881000082009,0,32,male
2,10,73,rw,HF,gemaakt,4.0844,0.8008390022675737,56.313786899962,57.63981869997224,z,1.3260318000102416,1,32,male
3,10,193,nw,NW,nef,0.0,0.4258730158730158,59.178713399975095,60.33551910001552,m,1.1568057000404224,1,32,male
4,10,125,nw,NW,kabrieken,0.0,0.5446258503401361,61.877766699995846,63.3011708999984,m,1.423404200002551,1,32,male
5,10,17,rw,LF,clusters,0.6021,0.7289342403628117,64.84354919998441,66.52571489999536,z,1.6821657000109551,1,32,male
6,10,44,rw,LF,stram,0.8451,0.5876190476190476,68.07560849998845,69.30170549999457,m,1.2260970000061209,0,32,male
7,10,10,rw,LF,sikkels,0.301,0.7240136054421769,70.84110829996644,72.0887144000153,z,1.2476061000488698,1,32,male
8,10,94,rw,HF,gedaan,4.5868,0.6245578231292517,73.64021149999462,75.01631549996091,z,1.3761039999662898,1,32,male
9,10,51,rw,HF,plan,3.7972,0.3517687074829932,76.5562739999732,77.84158700000262,z,1.2853130000294186,1,32,male
10,10,179,nw,NW,monen,0.0,0.4788888888888888,79.38894189998973,80.69307789998129,m,1.3041359999915585,1,32,male
11,10,42,rw,LF,lome,0.8451,0.4866893424036281,82.2378408999648,83.34984779998194,m,1.1120069000171495,0,32,male
12,10,162,nw,NW,gebeikt,0.0,0.8473469387755102,84.88665739999851,86.36875359999249,m,1.4820961999939757,1,32,male
13,10,20,rw,LF,schoffels,0.6021,0.7928571428571428,87.91871160001028,89.0606839999673,z,1.1419723999570124,1,32,male
14,10,12,rw,LF,barse,0.4771,0.5087755102040816,90.60178999998608,91.78968310001072,m,1.1878931000246666,0,32,male
15,10,88,rw,HF,werd,4.3552,0.4824263038548753,93.33383339998544,94.4012769999681,z,1.0674435999826528,1,32,male
16,10,57,rw,HF,reden,3.8548,0.4158049886621315,95.9497468000045,97.24680129997432,z,1.2970544999698177,1,32,male
17,10,143,nw,NW,rakot,0.0,0.6866439909297052,98.79847019998124,100.00606129999504,m,1.2075911000138149,1,32,male
18,10,142,nw,NW,gardien,0.0,0.5500680272108843,101.54766579996794,102.65483239997413,m,1.1071666000061668,1,32,male
19,10,43,rw,LF,stengels,0.8451,0.7586621315192744,104.19677679997405,105.24643070000457,z,1.0496539000305347,1,32,male
20,10,163,nw,NW,plond,0.0,0.5671655328798186,106.7958265999914,108.10783639998408,m,1.3120097999926656,1,32,male
21,10,116,nw,NW,plenk,0.0,0.4568707482993197,109.64503770001464,110.52684509998652,m,0.8818073999718763,1,32,male
22,10,104,nw,NW,goont,0.0,0.6195918367346939,112.07749449997208,113.13641350000398,m,1.0589190000318922,1,32,male
23,10,7,rw,LF,rafel,0.301,0.574421768707483,114.67663239996182,115.77713689999656,z,1.1005045000347309,1,32,male
24,10,95,rw,HF,dood,4.6374,0.5565986394557824,117.32578109996392,118.37389499996787,z,1.0481139000039548,1,32,male
25,10,16,rw,LF,snert,0.4771,0.6224489795918368,119.92487589997472,121.01871739997296,z,1.0938414999982342,1,32,male
26,10,90,rw,HF,wist,4.4149,0.5760997732426304,122.55730079999194,123.53391769999872,z,0.9766169000067748,1,32,male
27,10,1,rw,LF,buidels,0.301,0.7648752834467121,125.07298860000446,126.1017950999667,z,1.0288064999622293,1,32,male
28,10,101,nw,NW,millag,0.0,0.5752380952380952,127.63948650000384,128.78577319998294,m,1.1462866999791004,1,32,male
29,10,26,rw,LF,beitels,0.699,0.7305895691609977,130.338016099995,131.66653399995994,z,1.328517899964936,1,32,male
30,10,62,rw,HF,gaf,3.923,0.5007256235827664,133.20420380000724,134.36781660001725,z,1.1636128000100143,1,32,male
31,10,59,rw,HF,redden,3.8783,0.3632426303854875,135.91935879999073,136.73060529999202,z,0.811246500001289,1,32,male
32,10,176,nw,NW,kwarp,0.0,0.5111791383219955,138.26869180001086,139.33527869998943,m,1.0665868999785744,1,32,male
33,10,134,nw,NW,vrijk,0.0,0.6648299319727892,140.8845025000046,142.18696839996846,m,1.3024658999638632,1,32,male
34,10,178,nw,NW,gimmel,0.0,0.4918140589569161,143.7337472999934,144.9703848999925,m,1.236637599999085,1,32,male
35,10,85,rw,HF,zag,4.3048,0.4990476190476191,146.5158400000073,147.65135790000204,z,1.1355178999947384,1,32,male
36,10,191,nw,NW,darboen,0.0,0.6270748299319728,149.19828459998826,150.47393699997338,m,1.2756523999851197,1,32,male
37,10,112,nw,NW,breent,0.0,0.6899546485260771,152.0139135000063,153.31861839996418,m,1.3047048999578692,1,32,male
38,10,119,nw,NW,doppel,0.0,0.3931292517006802,154.86311510001542,156.02292839996517,m,1.1598132999497466,1,32,male
39,10,22,rw,LF,spurt,0.6021,0.6664625850340136,157.56243180000456,159.09744579996914,z,1.5350139999645762,1,32,male
40,10,28,rw,LF,klavier,0.699,0.6192970521541951,160.64479499997103,161.6599556999863,z,1.015160700015258,1,32,male
41,10,149,nw,NW,leumen,0.0,0.4952834467120181,163.21006810001563,164.23251100000925,m,1.0224428999936208,1,32,male
42,10,190,nw,NW,ploe,0.0,0.233922902494331,165.7761778999702,166.87007080001058,m,1.0938929000403732,1,32,male
43,10,98,rw,HF,had,4.9643,0.4442176870748299,168.4084809999913,169.51876329997322,z,1.1102822999819182,1,32,male
44,10,15,rw,LF,karpers,0.4771,0.6831292517006803,171.0575670999824,172.55581950000487,z,1.4982524000224655,1,32,male
45,10,87,rw,HF,ging,4.3434,0.396734693877551,174.10670539998682,175.1223143999814,z,1.0156089999945834,1,32,male
46,10,105,nw,NW,jugen,0.0,0.5052607709750567,176.67203159997007,177.67073060001712,m,0.998699000047054,1,32,male
47,10,200,nw,NW,fankel,0.0,0.5785260770975057,179.22194339998532,180.17400860000637,m,0.9520652000210248,1,32,male
48,10,77,rw,HF,hen,4.158,0.3445124716553288,181.7206628000131,182.8418594999821,z,1.1211966999690048,1,32,male
49,10,188,nw,NW,klaam,0.0,0.4651700680272109,184.3866076999693,185.45554319996157,m,1.0689354999922216,1,32,male
50,10,93,rw,HF,dacht,4.5313,0.4514512471655328,187.00247750000565,187.86681949999183,z,0.864341999986209,1,32,male
51,10,56,rw,HF,hard,3.8435,0.4832879818594104,189.4178088000044,190.56713079998732,z,1.1493219999829307,1,32,male
52,10,40,rw,LF,topaas,0.7782,0.75421768707483,192.117222699977,193.49918479996268,z,1.3819620999856852,1,32,male
53,10,33,rw,LF,woei,0.699,0.3439455782312925,195.04986749996897,196.0117041000049,z,0.9618366000358948,1,32,male
